Instruction,Unit,Signal/SAD,Reference/ADD,Value/DATA,PAGE,Comments
Force,V,VDD,GND,1.8,,"args=(), kwargs={}"
Force,V,RESETB,GND,1.8,,"args=(), kwargs={}"
Force,V,PVDD,GND,3.7,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x84,0x97,0,
I2C,WR-Reg,0x38,0x83,0x10,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x2f,0xaa,1,
I2C,WR-Reg,0x38,0x2f,0xbb,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x4e,0x89,0,
I2C,WR-Reg,0x38,0x38,0x1,0,
I2C,WR-Reg,0x38,0x39,0x8,0,
I2C,WR-Reg,0x38,0x3a,0x8,0,
I2C,WR-Reg,0x38,0x3c,0x8,0,
I2C,RR-Reg,0x38,0x25,0x0,0,
I2C,RR-Reg,0x38,0x26,0x0,0,
I2C,WR-Reg,0x38,0x2d,0x58,0,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0xf,0x1,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x10,0x2,1,
I2C,WR-Reg,0x38,0xcf,0x82,1,
I2C,WR-Reg,0x38,0xd1,0x1,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x2d,0x58,0,
I2C,WR-Reg,0x38,0xf,0x1,0,
Force,Hz,IOCLK0,GND,3072000.0,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0x9f,0x1,0,
I2C,WR-Reg,0x38,0x5e,0x1,0,
I2C,WR-Reg,0x38,0xfe,0x1,0,
I2C,WR-Reg,0x38,0x17,0x1,1,
I2C,WR-Reg,0x38,0x17,0x3,1,
I2C,WR-Reg,0x38,0x18,0x1,1,
I2C,WR-Reg,0x38,0x15,0x0,1,
I2C,WR-Reg,0x38,0x19,0x1,1,
I2C,WR-Reg,0x38,0x19,0x1,1,
I2C,WR-Reg,0x38,0x19,0x1,1,
I2C,WR-Reg,0x38,0x19,0x1,1,
I2C,WR-Reg,0x38,0x19,0x1,1,
I2C,WR-Reg,0x38,0x19,0x1,1,
I2C,WR-Reg,0x38,0x16,0x4,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x9c,0x0,0,
I2C,WR-Reg,0x38,0x9b,0x91,0,
I2C,WR-Reg,0x38,0x9a,0x96,0,
I2C,WR-Reg,0x38,0x9a,0xb6,0,
I2C,WR-Reg,0x38,0xfe,0x1,0,
I2C,WR-Reg,0x38,0x1a,0x4,1,
I2C,WR-Reg,0x38,0x1b,0x0,1,
I2C,WR-Reg,0x38,0x1a,0x14,1,
I2C,WR-Reg,0x38,0x1b,0x10,1,
I2C,WR-Reg,0x38,0x19,0x3,1,
I2C,WR-Reg,0x38,0x3,0x4,1,
I2C,WR-Reg,0x38,0x4,0x5,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x9d,0x40,0,
I2C,WR-Reg,0x38,0xfe,0x1,0,
I2C,WR-Reg,0x38,0x1a,0x15,1,
I2C,WR-Reg,0x38,0x1b,0x11,1,
Force,V,VMID,PGND,2.35,,"args=(), kwargs={}"
Trigger,,IOCLK1,GND,1.8,,"(), {'simulated_measured_value': 1}"
Force,V,VMID,GND,2.4,,"args=(), kwargs={}"
Trigger,,IOCLK1,GND,1.8,,"(), {'simulated_measured_value': 1}"
Force,V,VMID,GND,2.4499999999999997,,"args=(), kwargs={}"
Trigger,,IOCLK1,GND,1.8,,"(), {'simulated_measured_value': 1}"
Force,V,VMID,GND,2.4999999999999996,,"args=(), kwargs={}"
Trigger,,IOCLK1,GND,1.8,,"(), {'simulated_measured_value': 1}"
Force,V,VMID,GND,2.5499999999999994,,"args=(), kwargs={}"
Trigger,,IOCLK1,GND,1.8,,"(), {'simulated_measured_value': 1}"
Force,V,VMID,GND,2.599999999999999,,"args=(), kwargs={}"
Trigger,,IOCLK1,GND,1.8,,"(), {'simulated_measured_value': 1}"
Force,V,VMID,GND,2.649999999999999,,"args=(), kwargs={}"
Trigger,,IOCLK1,GND,1.8,,"(), {'simulated_measured_value': 1}"
Force,V,VMID,GND,2.699999999999999,,"args=(), kwargs={}"
Trigger,,IOCLK1,GND,1.8,,"(), {'simulated_measured_value': 1}"
Force,V,VMID,GND,2.7499999999999987,,"args=(), kwargs={}"
Trigger,,IOCLK1,GND,1.8,,"(), {'simulated_measured_value': 1}"
Force,V,VMID,GND,2.7999999999999985,,"args=(), kwargs={}"
Trigger,,IOCLK1,GND,1.8,,"(), {'simulated_measured_value': 1}"
Force,V,VMID,GND,2.8499999999999983,,"args=(), kwargs={}"
Trigger,,IOCLK1,GND,1.8,,"(), {'simulated_measured_value': 1}"
