Instruction,Unit,Signal/SAD,Reference/ADD,Value/DATA,PAGE,Comments
Force,V,VDD,GND,1.8,,"args=(), kwargs={}"
Force,V,RESETB,GND,1.8,,"args=(), kwargs={}"
Force,V,PVDD,GND,3.7,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x84,0x97,0,
I2C,WR-Reg,0x38,0x83,0x10,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x2f,0xaa,1,
I2C,WR-Reg,0x38,0x2f,0xbb,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x4e,0x89,0,
I2C,WR-Reg,0x38,0x38,0x1,0,
I2C,WR-Reg,0x38,0x39,0x8,0,
I2C,WR-Reg,0x38,0x3a,0x8,0,
I2C,WR-Reg,0x38,0x3c,0x8,0,
I2C,RR-Reg,0x38,0x25,0x0,0,
I2C,RR-Reg,0x38,0x26,0x0,0,
I2C,WR-Reg,0x38,0x2d,0x58,0,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0xf,0x1,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x10,0x2,1,
I2C,WR-Reg,0x38,0xcf,0x82,1,
I2C,WR-Reg,0x38,0xd1,0x1,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x2d,0x58,0,
I2C,WR-Reg,0x38,0xf,0x1,0,
Force,Hz,IOCLK0,GND,3072000.0,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0x9f,0x1,0,
I2C,WR-Reg,0x38,0x5e,0x1,0,
I2C,WR-Reg,0x38,0xfe,0x1,0,
I2C,WR-Reg,0x38,0x17,0x1,1,
I2C,WR-Reg,0x38,0x17,0x3,1,
I2C,WR-Reg,0x38,0x18,0x1,1,
I2C,WR-Reg,0x38,0x15,0x0,1,
I2C,WR-Reg,0x38,0x19,0x1,1,
I2C,WR-Reg,0x38,0x19,0x1,1,
I2C,WR-Reg,0x38,0x19,0x1,1,
I2C,WR-Reg,0x38,0x19,0x1,1,
I2C,WR-Reg,0x38,0x19,0x1,1,
I2C,WR-Reg,0x38,0x19,0x1,1,
I2C,WR-Reg,0x38,0x16,0x4,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x9c,0x0,0,
I2C,WR-Reg,0x38,0x9b,0x91,0,
I2C,WR-Reg,0x38,0x9a,0x96,0,
I2C,WR-Reg,0x38,0x9a,0xb6,0,
I2C,WR-Reg,0x38,0xfe,0x1,0,
I2C,WR-Reg,0x38,0x1a,0x4,1,
I2C,WR-Reg,0x38,0x1b,0x0,1,
I2C,WR-Reg,0x38,0x1a,0x14,1,
I2C,WR-Reg,0x38,0x1b,0x10,1,
I2C,WR-Reg,0x38,0x19,0x3,1,
I2C,WR-Reg,0x38,0x3,0x4,1,
I2C,WR-Reg,0x38,0x4,0x4,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x9d,0x10,0,
I2C,WR-Reg,0x38,0xfe,0x1,0,
I2C,WR-Reg,0x38,0x1a,0x15,1,
I2C,WR-Reg,0x38,0x1b,0x11,1,
I2C,WR-Reg,0x38,0x9f,0x1,0,
I2C,WR-Reg,0x38,0x1b,0x11,1,
I2C,WR-Reg,0x38,0x1b,0x11,1,
I2C,WR-Reg,0x38,0x1a,0x95,1,
I2C,WR-Reg,0x38,0x1a,0xd5,1,
Force,V,VMID,PGND,1.35,,"args=(), kwargs={}"
Measure,V,IOCLK1,GND,0.9,,"args=(), kwargs={}"
Force,V,VMID,PGND,1.3,,"args=(), kwargs={}"
Measure,V,IOCLK1,GND,0.9,,"args=(), kwargs={}"
Force,V,VMID,PGND,1.25,,"args=(), kwargs={}"
Measure,V,IOCLK1,GND,0.9,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xfe,0x1,0,
I2C,WR-Reg,0x38,0x17,0x2,1,
I2C,WR-Reg,0x38,0x17,0x0,1,
I2C,WR-Reg,0x38,0x18,0x0,1,
I2C,WR-Reg,0x38,0x15,0x0,1,
I2C,WR-Reg,0x38,0x19,0x2,1,
I2C,WR-Reg,0x38,0x19,0x2,1,
I2C,WR-Reg,0x38,0x19,0x2,1,
I2C,WR-Reg,0x38,0x19,0x2,1,
I2C,WR-Reg,0x38,0x19,0x2,1,
I2C,WR-Reg,0x38,0x19,0x2,1,
I2C,WR-Reg,0x38,0x16,0x0,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x9c,0x0,0,
I2C,WR-Reg,0x38,0x9b,0x81,0,
I2C,WR-Reg,0x38,0x9a,0xa6,0,
I2C,WR-Reg,0x38,0x9a,0x86,0,
I2C,WR-Reg,0x38,0xfe,0x1,0,
I2C,WR-Reg,0x38,0x1a,0xd1,1,
I2C,WR-Reg,0x38,0x1b,0x11,1,
I2C,WR-Reg,0x38,0x1a,0xc1,1,
I2C,WR-Reg,0x38,0x1b,0x1,1,
I2C,WR-Reg,0x38,0x19,0x0,1,
I2C,WR-Reg,0x38,0x3,0x0,1,
I2C,WR-Reg,0x38,0x4,0x0,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x9d,0x10,0,
I2C,WR-Reg,0x38,0xfe,0x1,0,
I2C,WR-Reg,0x38,0x1a,0xc0,1,
I2C,WR-Reg,0x38,0x1b,0x0,1,
I2C,WR-Reg,0x38,0x9f,0x0,0,
I2C,WR-Reg,0x38,0x1b,0x0,1,
I2C,WR-Reg,0x38,0x1b,0x0,1,
I2C,WR-Reg,0x38,0x1a,0x40,1,
I2C,WR-Reg,0x38,0x1a,0x0,1,
