Instruction,Unit,Signal/SAD,Reference/ADD,Value/DATA,PAGE,Comments
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x16,0x80,1,
I2C,WR-Reg,0x38,0x17,0x2,1,
I2C,WR-Reg,0x38,0x17,0x3,1,
I2C,WR-Reg,0x38,0x10,0x80,1,
I2C,WR-Reg,0x38,0x10,0xc0,1,
I2C,WR-Reg,0x38,0x16,0x80,1,
I2C,WR-Reg,0x38,0x15,0x4,1,
Force,V,ADDR,GND,1.2,,"args=(), kwargs={}"
Measure,V,IODATA1,GND,1.2,,"args=(), kwargs={}"
Force,V,ADDR,GND,inf,,"args=(), kwargs={}"
Measure,V,IODATA1,GND,1.2,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb1,0x8c,1,
Measure,V,IODATA1,GND,1.2,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0x15,0x5,1,
Force,V,ADDR,GND,0.9,,"args=(), kwargs={}"
Measure,V,IODATA1,GND,0.9,,"args=(), kwargs={}"
Force,V,ADDR,GND,inf,,"args=(), kwargs={}"
Measure,V,IODATA1,GND,0.9,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb0,0x0,1,
Measure,V,IODATA1,GND,0.9,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0x15,0x6,1,
Force,V,ADDR,GND,0.6,,"args=(), kwargs={}"
Measure,V,IODATA1,GND,0.6,,"args=(), kwargs={}"
Force,V,ADDR,GND,inf,,"args=(), kwargs={}"
Measure,V,IODATA1,GND,0.6,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb0,0x2,1,
Measure,V,IODATA1,GND,0.6,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0x10,0x40,1,
I2C,WR-Reg,0x38,0x10,0x0,1,
I2C,WR-Reg,0x38,0x15,0xc,1,
Measure,V,IODATA1,GND,1.2,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xcd,0x1,1,
Measure,V,IODATA1,GND,1.2,,"args=(), kwargs={}"
Measure,V,IODATA1,GND,inf,,"args=(), kwargs={'comments': 'Remove Multimeter'}"
I2C,WR-Reg,0x38,0x16,0x0,1,
I2C,WR-Reg,0x38,0x17,0x1,1,
I2C,WR-Reg,0x38,0x17,0x0,1,
I2C,WR-Reg,0x38,0x10,0x0,1,
I2C,WR-Reg,0x38,0x10,0x0,1,
I2C,WR-Reg,0x38,0x16,0x0,1,
I2C,WR-Reg,0x38,0x15,0x0,1,
