Instruction,Unit,Signal/SAD,Reference/ADD,Value/DATA,PAGE,Comments
Force,V,VDD,GND,1.8,,"args=(), kwargs={}"
Force,V,RESETB,GND,1.8,,"args=(), kwargs={}"
Force,V,PVDD,GND,3.7,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x84,0x97,0,
I2C,WR-Reg,0x38,0x83,0x10,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x2f,0xaa,1,
I2C,WR-Reg,0x38,0x2f,0xbb,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x4e,0x89,0,
I2C,WR-Reg,0x38,0x38,0x1,0,
I2C,WR-Reg,0x38,0x39,0x8,0,
I2C,WR-Reg,0x38,0x3a,0x8,0,
I2C,WR-Reg,0x38,0x3c,0x8,0,
I2C,RR-Reg,0x38,0x25,0x0,0,
I2C,RR-Reg,0x38,0x26,0x0,0,
I2C,WR-Reg,0x38,0x2d,0x58,0,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0xf,0x1,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x10,0x2,1,
I2C,WR-Reg,0x38,0xcf,0x82,1,
I2C,WR-Reg,0x38,0xd1,0x1,1,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,RR-Reg,0x38,0xb0,0x0,1,
I2C,RR-Reg,0x38,0xb1,0x0,1,
I2C,RR-Reg,0x38,0xb2,0x0,1,
I2C,RR-Reg,0x38,0xb3,0x0,1,
I2C,RR-Reg,0x38,0xb4,0x0,1,
I2C,RR-Reg,0x38,0xb5,0x0,1,
I2C,RR-Reg,0x38,0xb6,0x0,1,
I2C,RR-Reg,0x38,0xb7,0x0,1,
I2C,RR-Reg,0x38,0xb8,0x0,1,
I2C,RR-Reg,0x38,0xb9,0x0,1,
I2C,RR-Reg,0x38,0xba,0x0,1,
I2C,RR-Reg,0x38,0xbb,0x0,1,
I2C,RR-Reg,0x38,0xbc,0x0,1,
I2C,RR-Reg,0x38,0xbd,0x0,1,
I2C,RR-Reg,0x38,0xbe,0x0,1,
I2C,RR-Reg,0x38,0xbf,0x0,1,
I2C,RR-Reg,0x38,0xc0,0x0,1,
I2C,RR-Reg,0x38,0xc1,0x0,1,
I2C,RR-Reg,0x38,0xc2,0x0,1,
I2C,RR-Reg,0x38,0xc3,0x0,1,
I2C,RR-Reg,0x38,0xc4,0x0,1,
I2C,RR-Reg,0x38,0xc5,0x0,1,
I2C,RR-Reg,0x38,0xc6,0x0,1,
I2C,RR-Reg,0x38,0xc7,0x0,1,
I2C,RR-Reg,0x38,0xc8,0x0,1,
I2C,RR-Reg,0x38,0xc9,0x0,1,
I2C,RR-Reg,0x38,0xca,0x0,1,
I2C,RR-Reg,0x38,0xcb,0x0,1,
I2C,RR-Reg,0x38,0xcc,0x0,1,
I2C,RR-Reg,0x38,0xcd,0x0,1,
I2C,RR-Reg,0x38,0xce,0x0,1,
I2C,RR-Reg,0x38,0xcf,0x0,1,
I2C,WR-Reg,0x38,0xd0,0x0,1,
I2C,WR-Reg,0x38,0xd1,0x0,1,
