Instruction,Unit,Signal/SAD,Reference/ADD,Value/DATA,PAGE,Comments
Force,V,VDD,GND,1.8,,"args=(), kwargs={}"
Force,V,RESETB,GND,1.8,,"args=(), kwargs={}"
Force,V,PVDD,GND,3.7,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x84,0x97,0,
I2C,WR-Reg,0x38,0x83,0x10,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x2f,0xaa,1,
I2C,WR-Reg,0x38,0x2f,0xbb,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x4e,0x89,0,
I2C,WR-Reg,0x38,0x38,0x1,0,
I2C,WR-Reg,0x38,0x39,0x8,0,
I2C,WR-Reg,0x38,0x3a,0x8,0,
I2C,WR-Reg,0x38,0x3c,0x8,0,
I2C,RR-Reg,0x38,0x25,0x0,0,
I2C,RR-Reg,0x38,0x26,0x0,0,
I2C,WR-Reg,0x38,0x2d,0x58,0,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0xf,0x1,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x10,0x2,1,
I2C,WR-Reg,0x38,0xcf,0x82,1,
I2C,WR-Reg,0x38,0xd1,0x1,1,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x10,0x42,1,
I2C,WR-Reg,0x38,0x10,0xc2,1,
I2C,WR-Reg,0x38,0x17,0x2,1,
I2C,WR-Reg,0x38,0x17,0x3,1,
Force,V,ADDR,GND,1.2,,"args=(), kwargs={}"
Measure,V,IODATA1,GND,1.2,,"args=(), kwargs={}"
Force,V,ADDR,GND,inf,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0x17,0x1,1,
I2C,WR-Reg,0x38,0x17,0x0,1,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x16,0x80,1,
I2C,WR-Reg,0x38,0x15,0x4,1,
I2C,WR-Reg,0x38,0x10,0xc2,1,
I2C,WR-Reg,0x38,0x17,0x1,1,
I2C,WR-Reg,0x38,0xb1,0x88,1,
Measure,V,IODATA1,GND,1.24856,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb1,0x89,1,
Measure,V,IODATA1,GND,1.25613,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb1,0x8a,1,
Measure,V,IODATA1,GND,1.2637,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb1,0x8b,1,
Measure,V,IODATA1,GND,1.27127,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb1,0x8c,1,
Measure,V,IODATA1,GND,1.27884,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb1,0x8d,1,
Measure,V,IODATA1,GND,1.28641,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb1,0x8e,1,
Measure,V,IODATA1,GND,1.29398,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb1,0x8f,1,
Measure,V,IODATA1,GND,1.30155,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb1,0x80,1,
Measure,V,IODATA1,GND,1.188,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb1,0x81,1,
Measure,V,IODATA1,GND,1.19557,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb1,0x82,1,
Measure,V,IODATA1,GND,1.2031399999999999,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb1,0x83,1,
Measure,V,IODATA1,GND,1.21071,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb1,0x84,1,
Measure,V,IODATA1,GND,1.21828,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb1,0x85,1,
Measure,V,IODATA1,GND,1.2258499999999999,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb1,0x86,1,
Measure,V,IODATA1,GND,1.23342,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb1,0x87,1,
Measure,V,IODATA1,GND,1.24099,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb1,0x83,1,
I2C,WR-Reg,0x38,0x16,0x0,1,
I2C,WR-Reg,0x38,0x17,0x0,1,
