Instruction,Unit,Signal/SAD,Reference/ADD,Value/DATA,PAGE,Comments
Force,V,VDD,GND,1.8,,"args=(), kwargs={}"
Force,V,RESETB,GND,1.8,,"args=(), kwargs={}"
Force,V,PVDD,GND,3.7,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x84,0x97,0,
I2C,WR-Reg,0x38,0x83,0x10,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x2f,0xaa,1,
I2C,WR-Reg,0x38,0x2f,0xbb,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x4e,0x89,0,
I2C,WR-Reg,0x38,0x38,0x1,0,
I2C,WR-Reg,0x38,0x39,0x8,0,
I2C,WR-Reg,0x38,0x3a,0x8,0,
I2C,WR-Reg,0x38,0x3c,0x8,0,
I2C,RR-Reg,0x38,0x25,0x0,0,
I2C,RR-Reg,0x38,0x26,0x0,0,
I2C,WR-Reg,0x38,0x2d,0x58,0,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0xf,0x1,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x10,0x2,1,
I2C,WR-Reg,0x38,0xcf,0x82,1,
I2C,WR-Reg,0x38,0xd1,0x1,1,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0xb4,0xf,1,
I2C,WR-Reg,0x38,0x3,0x4,1,
I2C,WR-Reg,0x38,0x4,0x11,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0xdf,0x3,0,
I2C,WR-Reg,0x38,0xd6,0x5,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0xb4,0xf,1,
Measure,Hz,IOCLK1,GND,-3462900.0,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb4,0xe,1,
Measure,Hz,IOCLK1,GND,-2882900.0,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb4,0xd,1,
Measure,Hz,IOCLK1,GND,-2302900.0,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb4,0xc,1,
Measure,Hz,IOCLK1,GND,-1722900.0,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb4,0xb,1,
Measure,Hz,IOCLK1,GND,-1142900.0,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb4,0xa,1,
Measure,Hz,IOCLK1,GND,-562900.0,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb4,0x9,1,
Measure,Hz,IOCLK1,GND,17100.0,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb4,0x8,1,
Measure,Hz,IOCLK1,GND,597100.0,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb4,0x7,1,
Measure,Hz,IOCLK1,GND,1177100.0,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb4,0x6,1,
Measure,Hz,IOCLK1,GND,1757100.0,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb4,0x5,1,
Measure,Hz,IOCLK1,GND,2337100.0,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb4,0x4,1,
Measure,Hz,IOCLK1,GND,2917100.0,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb4,0x3,1,
Measure,Hz,IOCLK1,GND,3497100.0,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb4,0x2,1,
Measure,Hz,IOCLK1,GND,4077100.0,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb4,0x1,1,
Measure,Hz,IOCLK1,GND,4657100.0,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb4,0x0,1,
Measure,Hz,IOCLK1,GND,5237100.0,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb4,0x1,1,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x3,0x0,1,
I2C,WR-Reg,0x38,0x4,0x0,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0xd6,0x1,0,
