Instruction,Unit,Signal/SAD,Reference/ADD,Value/DATA,PAGE,Comments
Force,V,VDD,GND,1.8,,"args=(), kwargs={}"
Force,V,RESETB,GND,1.8,,"args=(), kwargs={}"
Force,V,PVDD,GND,3.7,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x84,0x97,0,
I2C,WR-Reg,0x38,0x83,0x10,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x2f,0xaa,1,
I2C,WR-Reg,0x38,0x2f,0xbb,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x4e,0x89,0,
I2C,WR-Reg,0x38,0x38,0x1,0,
I2C,WR-Reg,0x38,0x39,0x8,0,
I2C,WR-Reg,0x38,0x3a,0x8,0,
I2C,WR-Reg,0x38,0x3c,0x8,0,
I2C,RR-Reg,0x38,0x25,0x0,0,
I2C,RR-Reg,0x38,0x26,0x0,0,
I2C,WR-Reg,0x38,0x2d,0x58,0,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0xf,0x1,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x10,0x2,1,
I2C,WR-Reg,0x38,0xcf,0x82,1,
I2C,WR-Reg,0x38,0xd1,0x1,1,
Force,Hz,IOCLK0,GND,3072000.0,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0xd8,0x0,0,
I2C,WR-Reg,0x38,0xd9,0x20,0,
I2C,WR-Reg,0x38,0xde,0xf,0,
I2C,WR-Reg,0x38,0xdf,0x3,0,
I2C,WR-Reg,0x38,0xd6,0x1,0,
Force,V,PVDD,GND,2.8,,"args=(), kwargs={}"
I2C,RR-Reg,0x38,0x23,0x1,0,
I2C,RR-Reg,0x38,0x24,0xfe,0,
Force,V,PVDD,GND,4.8,,"args=(), kwargs={}"
I2C,RR-Reg,0x38,0x23,0x3,0,
I2C,RR-Reg,0x38,0x24,0x80,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0xbf,0x0,1,
I2C,WR-Reg,0x38,0xc1,0x1e,1,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0xc2,0xdb,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0xf,0x0,0,
I2C,WR-Reg,0x38,0xd8,0x0,0,
I2C,WR-Reg,0x38,0xd9,0x0,0,
I2C,WR-Reg,0x38,0xde,0xc,0,
I2C,WR-Reg,0x38,0xda,0x1,0,
Force,Hz,IOCLK0,GND,inf,,"args=(), kwargs={}"
