Instruction,Unit,Signal/SAD,Reference/ADD,Value/DATA,PAGE,Comments
Force,V,VDD,GND,1.8,,"args=(), kwargs={}"
Force,V,RESETB,GND,1.8,,"args=(), kwargs={}"
Force,V,PVDD,GND,3.7,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x84,0x97,0,
I2C,WR-Reg,0x38,0x83,0x10,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x2f,0xaa,1,
I2C,WR-Reg,0x38,0x2f,0xbb,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x4e,0x89,0,
I2C,WR-Reg,0x38,0x38,0x1,0,
I2C,WR-Reg,0x38,0x39,0x8,0,
I2C,WR-Reg,0x38,0x3a,0x8,0,
I2C,WR-Reg,0x38,0x3c,0x8,0,
I2C,RR-Reg,0x38,0x25,0x0,0,
I2C,RR-Reg,0x38,0x26,0x0,0,
I2C,WR-Reg,0x38,0x2d,0x58,0,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0xf,0x1,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x10,0x2,1,
I2C,WR-Reg,0x38,0xcf,0x82,1,
I2C,WR-Reg,0x38,0xd1,0x1,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x2d,0x58,0,
I2C,WR-Reg,0x38,0xf,0x1,0,
Force,Hz,IOCLK0,GND,3072000.0,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0x9f,0x1,0,
I2C,WR-Reg,0x38,0x5e,0x1,0,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x92,0x5,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x3,0x2,1,
I2C,WR-Reg,0x38,0x4,0x5,1,
I2C,WR-Reg,0x38,0x11,0x1,1,
I2C,WR-Reg,0x38,0x12,0x0,1,
I2C,WR-Reg,0x38,0x11,0x81,1,
I2C,WR-Reg,0x38,0xb6,0xf8,1,
Force,A,OUTN,GND,-0.75,,"args=(), kwargs={}"
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0xf8,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0xe8,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0xd8,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0xc8,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0xb8,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0xa8,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0x98,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0x88,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0x8,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0x18,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0x28,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0x38,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0x48,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0x58,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0x68,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0x78,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
Force,A,OUTN,GND,inf,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x9f,0x0,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x3,0x0,1,
I2C,WR-Reg,0x38,0x4,0x0,1,
I2C,WR-Reg,0x38,0x11,0x80,1,
I2C,WR-Reg,0x38,0x12,0x0,1,
I2C,WR-Reg,0x38,0x11,0x0,1,
