Instruction,Unit,Signal/SAD,Reference/ADD,Value/DATA,PAGE,Comments
Force,V,VDD,GND,1.8,,"args=(), kwargs={}"
Force,V,RESETB,GND,1.8,,"args=(), kwargs={}"
Force,V,PVDD,GND,3.7,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x84,0x97,0,
I2C,WR-Reg,0x38,0x83,0x10,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x2f,0xaa,1,
I2C,WR-Reg,0x38,0x2f,0xbb,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x4e,0x89,0,
I2C,WR-Reg,0x38,0x38,0x1,0,
I2C,WR-Reg,0x38,0x39,0x8,0,
I2C,WR-Reg,0x38,0x3a,0x8,0,
I2C,WR-Reg,0x38,0x3c,0x8,0,
I2C,RR-Reg,0x38,0x25,0x0,0,
I2C,RR-Reg,0x38,0x26,0x0,0,
I2C,WR-Reg,0x38,0x2d,0x58,0,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0xf,0x1,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x10,0x2,1,
I2C,WR-Reg,0x38,0xcf,0x82,1,
I2C,WR-Reg,0x38,0xd1,0x1,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x2d,0x58,0,
I2C,WR-Reg,0x38,0xf,0x1,0,
Force,Hz,IOCLK0,GND,3072000.0,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0x9f,0x1,0,
I2C,WR-Reg,0x38,0x5e,0x1,0,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x9c,0x0,0,
I2C,WR-Reg,0x38,0x9b,0x91,0,
I2C,WR-Reg,0x38,0x9c,0xa,0,
I2C,WR-Reg,0x38,0x9a,0xa6,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x3,0x2,1,
I2C,WR-Reg,0x38,0x4,0x4,1,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x1b,0x0,1,
I2C,WR-Reg,0x38,0x1a,0x10,1,
I2C,WR-Reg,0x38,0xb6,0x8f,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
Force,A,OUTP,GND,0.75,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xb6,0x8f,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0x8e,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0x8d,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0x8c,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0x8b,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0x8a,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0x89,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0x88,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0x80,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0x81,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0x82,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0x83,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0x84,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0x85,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0x86,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
I2C,WR-Reg,0x38,0xb6,0x87,1,
Trigger,,IODATA0,GND,1.8,,"(), {'simulated_measured_value': 0}"
Force,A,OUTP,GND,inf,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x9c,0x0,0,
I2C,WR-Reg,0x38,0x9b,0x81,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x3,0x0,1,
I2C,WR-Reg,0x38,0x4,0x0,1,
