Instruction,Unit,Signal/SAD,Reference/ADD,Value/DATA,PAGE,Comments
Force,V,VDD,GND,1.8,,"args=(), kwargs={}"
Force,V,RESETB,GND,1.8,,"args=(), kwargs={}"
Force,V,PVDD,GND,3.7,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x84,0x97,0,
I2C,WR-Reg,0x38,0x83,0x10,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x2f,0xaa,1,
I2C,WR-Reg,0x38,0x2f,0xbb,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x4e,0x89,0,
I2C,WR-Reg,0x38,0x38,0x1,0,
I2C,WR-Reg,0x38,0x39,0x8,0,
I2C,WR-Reg,0x38,0x3a,0x8,0,
I2C,WR-Reg,0x38,0x3c,0x8,0,
I2C,RR-Reg,0x38,0x25,0x0,0,
I2C,RR-Reg,0x38,0x26,0x0,0,
I2C,WR-Reg,0x38,0x2d,0x58,0,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0xf,0x1,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x10,0x2,1,
I2C,WR-Reg,0x38,0xcf,0x82,1,
I2C,WR-Reg,0x38,0xd1,0x1,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x2d,0x58,0,
I2C,WR-Reg,0x38,0xf,0x1,0,
Force,Hz,IOCLK0,GND,3072000.0,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0x9f,0x1,0,
I2C,WR-Reg,0x38,0x5e,0x1,0,
Measure,V,OUTP,OUTN,0,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x9f,0x0,0,
I2C,WR-Reg,0x38,0x76,0x81,0,
I2C,WR-Reg,0x38,0xa6,0x0,0,
I2C,WR-Reg,0x38,0x76,0xf1,0,
I2C,WR-Reg,0x38,0x76,0xf1,0,
I2C,WR-Reg,0x38,0x76,0xf1,0,
I2C,WR-Reg,0x38,0x77,0xa,0,
I2C,WR-Reg,0x38,0x77,0x8,0,
I2C,WR-Reg,0x38,0x78,0x77,0,
I2C,WR-Reg,0x38,0x78,0x7f,0,
I2C,WR-Reg,0x38,0x78,0x7f,0,
I2C,WR-Reg,0x38,0xa0,0x4,0,
I2C,WR-Reg,0x38,0x17,0x35,0,
I2C,WR-Reg,0x38,0x92,0x3,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0xc6,0x0,1,
I2C,WR-Reg,0x38,0xcb,0x0,1,
I2C,WR-Reg,0x38,0xca,0x0,1,
I2C,WR-Reg,0x38,0xcb,0x0,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x79,0x1,1,
I2C,RR-Reg,0x38,0x79,0x10,0,
I2C,RR-Reg,0x38,0x79,0x30,0,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x9f,0x1,0,
Measure,V,OUTP,OUTN,0,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,RR-Reg,0x38,0xc6,0x7,1,
I2C,RR-Reg,0x38,0xcb,0x0,1,
I2C,RR-Reg,0x38,0xca,0x7,1,
I2C,RR-Reg,0x38,0xcb,0x0,1,
