Instruction,Unit,Signal/SAD,Reference/ADD,Value/DATA,PAGE,Comments
Force,V,VDD,GND,1.8,,"args=(), kwargs={}"
Force,V,RESETB,GND,1.8,,"args=(), kwargs={}"
Force,V,PVDD,GND,3.7,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x84,0x97,0,
I2C,WR-Reg,0x38,0x83,0x10,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x2f,0xaa,1,
I2C,WR-Reg,0x38,0x2f,0xbb,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x4e,0x89,0,
I2C,WR-Reg,0x38,0x38,0x1,0,
I2C,WR-Reg,0x38,0x39,0x8,0,
I2C,WR-Reg,0x38,0x3a,0x8,0,
I2C,WR-Reg,0x38,0x3c,0x8,0,
I2C,RR-Reg,0x38,0x25,0x0,0,
I2C,RR-Reg,0x38,0x26,0x0,0,
I2C,WR-Reg,0x38,0x2d,0x58,0,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0xf,0x1,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x10,0x2,1,
I2C,WR-Reg,0x38,0xcf,0x82,1,
I2C,WR-Reg,0x38,0xd1,0x1,1,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x16,0x80,1,
I2C,WR-Reg,0x38,0x15,0xc,1,
I2C,WR-Reg,0x38,0x17,0x1,1,
I2C,WR-Reg,0x38,0xcd,0x8,1,
Measure,V,IODATA1,GND,1.30912,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xcd,0x9,1,
Measure,V,IODATA1,GND,1.32426,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xcd,0xa,1,
Measure,V,IODATA1,GND,1.3394,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xcd,0xb,1,
Measure,V,IODATA1,GND,1.35454,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xcd,0xc,1,
Measure,V,IODATA1,GND,1.36968,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xcd,0xd,1,
Measure,V,IODATA1,GND,1.38482,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xcd,0xe,1,
Measure,V,IODATA1,GND,1.3999599999999999,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xcd,0xf,1,
Measure,V,IODATA1,GND,1.4151,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xcd,0x0,1,
Measure,V,IODATA1,GND,1.188,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xcd,0x1,1,
Measure,V,IODATA1,GND,1.2031399999999999,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xcd,0x2,1,
Measure,V,IODATA1,GND,1.21828,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xcd,0x3,1,
Measure,V,IODATA1,GND,1.23342,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xcd,0x4,1,
Measure,V,IODATA1,GND,1.24856,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xcd,0x5,1,
Measure,V,IODATA1,GND,1.2637,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xcd,0x6,1,
Measure,V,IODATA1,GND,1.27884,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xcd,0x7,1,
Measure,V,IODATA1,GND,1.29398,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xcd,0x1,1,
I2C,WR-Reg,0x38,0x16,0x0,1,
I2C,WR-Reg,0x38,0x17,0x0,1,
