Instruction,Unit,Signal/SAD,Reference/ADD,Value/DATA,PAGE,Comments
Force,V,VDD,GND,1.8,,"args=(), kwargs={}"
Force,V,RESETB,GND,1.8,,"args=(), kwargs={}"
Force,V,PVDD,GND,3.7,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x84,0x97,0,
I2C,WR-Reg,0x38,0x83,0x10,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x2f,0xaa,1,
I2C,WR-Reg,0x38,0x2f,0xbb,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x4e,0x89,0,
I2C,WR-Reg,0x38,0x38,0x1,0,
I2C,WR-Reg,0x38,0x39,0x8,0,
I2C,WR-Reg,0x38,0x3a,0x8,0,
I2C,WR-Reg,0x38,0x3c,0x8,0,
I2C,RR-Reg,0x38,0x25,0x0,0,
I2C,RR-Reg,0x38,0x26,0x0,0,
I2C,WR-Reg,0x38,0x2d,0x58,0,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0xf,0x1,0,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x10,0x2,1,
I2C,WR-Reg,0x38,0xcf,0x82,1,
I2C,WR-Reg,0x38,0xd1,0x1,1,
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0x1a,0x1,1,
I2C,WR-Reg,0x38,0x1b,0x0,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x92,0x5,0,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0xa6,0x8,0,
I2C,WR-Reg,0x38,0xa6,0x0,0,
I2C,WR-Reg,0x38,0xa7,0x1,0,
I2C,WR-Reg,0x38,0xa7,0x3,0,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x2d,0x58,0,
I2C,WR-Reg,0x38,0xf,0x1,0,
Force,Hz,IOCLK0,GND,3072000.0,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0x9f,0x1,0,
I2C,WR-Reg,0x38,0x5e,0x1,0,
Force,A,OUTP,OUTN,0.0,,"args=(), kwargs={}"
I2C,RR-Reg,0x38,0x6b,0x0,0,
I2C,RR-Reg,0x38,0x6c,0x0,0,
I2C,WR-Reg,0x38,0xfe,0x1,0,
I2C,WR-Reg,0x38,0x11,0x0,1,
I2C,WR-Reg,0x38,0x12,0xff,1,
I2C,WR-Reg,0x38,0x11,0x80,1,
Force,A,OUTP,OUTN,-0.34,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,RR-Reg,0x38,0x6b,0x10,0,
I2C,RR-Reg,0x38,0x6c,0xa2,0,
Force,A,OUTN,OUTP,inf,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xfe,0x1,0,
I2C,WR-Reg,0x38,0x11,0x81,1,
I2C,WR-Reg,0x38,0x12,0x0,1,
Force,A,OUTN,OUTP,-0.34,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,RR-Reg,0x38,0x6b,0xf4,0,
I2C,RR-Reg,0x38,0x6c,0x90,0,
Force,A,OUTN,OUTP,inf,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xfe,0x1,1,
I2C,WR-Reg,0x38,0xbb,0x3f,1,
I2C,WR-Reg,0x38,0xbc,0xfd,1,
I2C,WR-Reg,0x38,0xfe,0x1,0,
I2C,WR-Reg,0x38,0x11,0x80,1,
I2C,WR-Reg,0x38,0x12,0xff,1,
I2C,WR-Reg,0x38,0x11,0x80,1,
Force,A,OUTP,OUTN,-0.34,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,RR-Reg,0x38,0x6b,0xe,0,
I2C,RR-Reg,0x38,0x6c,0x82,0,
Force,A,OUTN,OUTP,inf,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xfe,0x1,0,
I2C,WR-Reg,0x38,0x11,0x81,1,
I2C,WR-Reg,0x38,0x12,0x0,1,
Force,A,OUTN,OUTP,-0.34,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,RR-Reg,0x38,0x6b,0xf1,0,
I2C,RR-Reg,0x38,0x6c,0x7e,0,
Force,A,OUTN,OUTP,inf,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0x11,0x80,1,
I2C,WR-Reg,0x38,0x12,0x0,1,
I2C,WR-Reg,0x38,0x11,0x0,1,
I2C,WR-Reg,0x38,0x1a,0x0,1,
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0x9f,0x0,0,
Force,Hz,IOCLK0,GND,inf,,"args=(), kwargs={}"
I2C,WR-Reg,0x38,0xfe,0x0,0,
I2C,WR-Reg,0x38,0xa7,0x2,0,
I2C,WR-Reg,0x38,0xa7,0x0,0,
I2C,WR-Reg,0x38,0xb3,0x0,1,
